engine_name,display_name,distance_m,i_have_kevlar,p_win_vs_ak
mac10,MAC-10,5.0,True,0.0
mac10,MAC-10,5.0,False,0.0
mac10,MAC-10,7.5,True,0.0
mac10,MAC-10,7.5,False,0.0
mac10,MAC-10,10.0,True,0.0
mac10,MAC-10,10.0,False,0.0
mac10,MAC-10,12.5,True,0.0008
mac10,MAC-10,12.5,False,0.0
mac10,MAC-10,15.0,True,0.004
mac10,MAC-10,15.0,False,0.0002
mac10,MAC-10,20.0,True,0.0
mac10,MAC-10,20.0,False,0.0
mac10,MAC-10,25.0,True,0.0002
mac10,MAC-10,25.0,False,0.0
mac10,MAC-10,30.0,True,0.0
mac10,MAC-10,30.0,False,0.0
mac10,MAC-10,40.0,True,0.0151
mac10,MAC-10,40.0,False,0.0024
mag7,MAG-7,2.5,True,1.0
mag7,MAG-7,2.5,False,1.0
mag7,MAG-7,5.0,True,0.3044
mag7,MAG-7,5.0,False,0.3044
mag7,MAG-7,7.5,True,0.0004
mag7,MAG-7,7.5,False,0.0004
mag7,MAG-7,10.0,True,0.0
mag7,MAG-7,10.0,False,0.0
mag7,MAG-7,12.5,True,0.0
mag7,MAG-7,12.5,False,0.0
mag7,MAG-7,15.0,True,0.0
mag7,MAG-7,15.0,False,0.0
mag7,MAG-7,20.0,True,0.0
mag7,MAG-7,20.0,False,0.0
mag7,MAG-7,25.0,True,0.0
mag7,MAG-7,25.0,False,0.0
mag7,MAG-7,30.0,True,0.0
mag7,MAG-7,30.0,False,0.0
mag7,MAG-7,40.0,True,0.015
mag7,MAG-7,40.0,False,0.0024
mp5sd,MP5-SD,2.5,True,0.0
mp5sd,MP5-SD,2.5,False,0.0
mp5sd,MP5-SD,5.0,True,0.0
mp5sd,MP5-SD,5.0,False,0.0
mp5sd,MP5-SD,7.5,True,0.0
mp5sd,MP5-SD,7.5,False,0.0
mp5sd,MP5-SD,10.0,True,0.0
mp5sd,MP5-SD,10.0,False,0.0
mp5sd,MP5-SD,12.5,True,0.035
mp5sd,MP5-SD,12.5,False,0.0
mp5sd,MP5-SD,15.0,True,0.1722
mp5sd,MP5-SD,15.0,False,0.0218
